src ip:/202.89.233.100src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10258 (unknown)
src ip:/23.40.243.185src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10266 (unknown)
src ip:/192.168.1.117src port:10267 (unknown),dst ip:/112.65.193.167,dst port:80 (HTTP)
src ip:/112.65.193.167src port:80 (HTTP),dst ip:/192.168.1.117,dst port:10267 (unknown)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10269 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10269 (unknown)
src ip:/192.168.1.117src port:10269 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10269 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10269 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10269 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10269 (unknown)
src ip:/192.168.1.117src port:10269 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10270 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10274 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10273 (unknown),dst ip:/52.231.207.240,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10275 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10276 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10277 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10278 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10279 (unknown),dst ip:/218.60.45.27,dst port:443 (HTTPS)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10274 (unknown)
src ip:/192.168.1.117src port:10274 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10274 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10272 (unknown),dst ip:/13.227.254.12,dst port:443 (HTTPS)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10275 (unknown)
src ip:/192.168.1.117src port:10275 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10275 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10277 (unknown)
src ip:/192.168.1.117src port:10277 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10277 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10276 (unknown)
src ip:/192.168.1.117src port:10276 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10276 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10270 (unknown)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10278 (unknown)
src ip:/192.168.1.117src port:10278 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10278 (unknown),dst ip:/218.60.45.245,dst port:443 (HTTPS)
src ip:/218.60.45.27src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10279 (unknown)
src ip:/192.168.1.117src port:10270 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10279 (unknown),dst ip:/218.60.45.27,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10270 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10279 (unknown),dst ip:/218.60.45.27,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10270 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10274 (unknown)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10275 (unknown)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10276 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/218.60.45.27src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10279 (unknown)
src ip:/40.79.189.58src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10271 (unknown)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/52.231.207.240src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10273 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/192.168.1.117src port:10273 (unknown),dst ip:/52.231.207.240,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10273 (unknown),dst ip:/52.231.207.240,dst port:443 (HTTPS)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10270 (unknown)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10270 (unknown)
src ip:/192.168.1.117src port:10273 (unknown),dst ip:/52.231.207.240,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10270 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10270 (unknown)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10277 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10269 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10269 (unknown)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/218.60.45.245src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10278 (unknown)
src ip:/192.168.1.117src port:10269 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/13.227.254.12src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10272 (unknown)
src ip:/13.227.254.12src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10272 (unknown)
src ip:/192.168.1.117src port:10272 (unknown),dst ip:/13.227.254.12,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10272 (unknown),dst ip:/13.227.254.12,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10272 (unknown),dst ip:/13.227.254.12,dst port:443 (HTTPS)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/192.168.1.117src port:10280 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/40.79.189.58src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10271 (unknown)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/52.231.207.240src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10273 (unknown)
src ip:/52.231.207.240src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10273 (unknown)
src ip:/52.231.207.240src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10273 (unknown)
src ip:/192.168.1.117src port:10273 (unknown),dst ip:/52.231.207.240,dst port:443 (HTTPS)
src ip:/52.231.207.240src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10273 (unknown)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10280 (unknown)
src ip:/192.168.1.117src port:10280 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10280 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10280 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10280 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/13.227.254.12src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10272 (unknown)
src ip:/192.168.1.117src port:10272 (unknown),dst ip:/13.227.254.12,dst port:443 (HTTPS)
src ip:/13.227.254.12src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10272 (unknown)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10280 (unknown)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10280 (unknown)
src ip:/192.168.1.117src port:10280 (unknown),dst ip:/204.79.197.203,dst port:443 (HTTPS)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10269 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10269 (unknown)
src ip:/192.168.1.117src port:10268 (unknown),dst ip:/221.194.154.216,dst port:443 (HTTPS)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10280 (unknown)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/204.79.197.203src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10280 (unknown)
src ip:/40.79.189.58src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10271 (unknown)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/13.227.254.12src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10272 (unknown)
src ip:/221.194.154.216src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10268 (unknown)
src ip:/192.168.1.117src port:10281 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/40.79.189.58src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10271 (unknown)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10271 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/40.79.189.58src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10281 (unknown)
src ip:/40.79.189.58src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10271 (unknown)
src ip:/192.168.1.117src port:10281 (unknown),dst ip:/40.79.189.58,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10282 (unknown),dst ip:/202.89.233.101,dst port:443 (HTTPS)
src ip:/202.89.233.101src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10282 (unknown)
src ip:/192.168.1.117src port:10282 (unknown),dst ip:/202.89.233.101,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10282 (unknown),dst ip:/202.89.233.101,dst port:443 (HTTPS)
src ip:/192.168.1.117src port:10282 (unknown),dst ip:/202.89.233.101,dst port:443 (HTTPS)
src ip:/202.89.233.101src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10282 (unknown)
src ip:/202.89.233.101src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10282 (unknown)
src ip:/192.168.1.117src port:10282 (unknown),dst ip:/202.89.233.101,dst port:443 (HTTPS)
src ip:/202.89.233.101src port:443 (HTTPS),dst ip:/192.168.1.117,dst port:10282 (unknown)
